1	0	38	8	
2	14	70	7	
3	89	73	3	
4	20	68	7	
5	134	57	7	
6	502	24	3	
7	118	2	6	
8	220	93	4	
9	190	55	3	
10	997	81	6	
11	377	21	3	
12	80	21	9	
13	1577	7	7	
14	269	82	7	
15	391	24	7	
16	1	71	3	
17	136	21	8	
18	364	39	5	
19	476	97	4	
20	64	31	1	
21	235	6	9	
22	1297	72	4	
23	523	25	2	
24	668	8	8	
25	40	28	6	
26	917	42	2	
27	108	58	8	
28	152	51	6	
29	2124	92	1	
30	2881	37	3	
31	902	1	6	
32	2051	1	2	
33	4700	69	3	
34	71	93	6	
35	1000	38	9	
36	1221	14	5	
37	133	29	6	
38	900	80	9	
39	512	20	5	
40	2415	12	7	
41	554	70	8	
42	119	63	8	
43	2444	26	7	
44	653	28	5	
45	1755	51	7	
46	742	73	2	
47	1147	46	4	
48	2122	35	2	
49	1089	49	9	
50	1009	21	6	
51	2463	15	3	
52	395	49	9	
53	207	18	8	
54	1319	69	7	
55	4353	46	6	
56	689	76	4	
57	724	7	5	
58	4230	78	6	
59	710	80	8	
60	456	21	9	
61	5381	57	9	
62	465	39	2	
63	3810	39	3	
64	3497	34	8	
65	4059	94	8	
66	1922	100	1	
67	470	36	9	
68	6045	16	3	
69	1790	76	3	
70	228	83	9	
71	4063	44	2	
72	2211	60	2	
73	5947	78	3	
74	1976	36	8	
75	423	26	5	
76	1176	39	9	
77	2063	46	1	
78	1122	4	2	
79	375	40	7	
80	3822	80	7	
81	773	57	4	
82	2381	75	4	
83	3801	35	1	
84	366	3	4	
85	1934	64	1	
86	417	73	7	
87	4873	21	3	
88	1502	25	7	
89	869	24	2	
90	496	39	7	
91	3245	83	2	
92	2568	80	3	
93	678	7	8	
94	130	49	8	
95	4778	74	1	
96	1578	12	1	
97	9961	83	8	
98	12638	71	1	
99	8557	37	8	
100	7256	49	1	
1	0	21	2	
2	36	74	8	
3	260	45	5	
4	349	99	4	
5	523	12	1	
6	23	92	3	
7	128	81	4	
8	204	97	1	
9	410	60	1	
10	432	12	6	
11	303	20	6	
12	770	98	1	
13	1302	43	9	
14	254	53	5	
15	486	37	7	
16	48	5	8	
17	2433	88	6	
18	287	49	4	
19	590	93	3	
20	475	84	2	
21	127	16	5	
22	796	72	4	
23	1005	76	7	
24	1209	84	5	
25	732	68	8	
26	72	55	4	
27	140	13	3	
28	245	78	3	
29	1932	71	4	
30	3376	87	4	
31	315	35	5	
32	1759	49	5	
33	1110	87	1	
34	199	69	3	
35	271	15	7	
36	495	70	5	
37	745	46	2	
38	1785	51	5	
39	2574	82	8	
40	84	10	4	
41	2217	19	6	
42	476	71	9	
43	49	35	7	
44	1139	72	3	
45	2374	4	3	
46	506	51	6	
47	3242	87	5	
48	1237	47	1	
49	1185	31	3	
50	3055	20	8	
51	4899	31	3	
52	3791	96	1	
53	2288	80	9	
54	427	90	8	
55	905	93	2	
56	1384	100	8	
57	496	78	8	
58	961	73	7	
59	2349	97	6	
60	110	19	4	
61	592	77	9	
62	4047	27	5	
63	3650	38	4	
64	101	82	7	
65	2812	80	7	
66	480	99	8	
67	1379	98	3	
68	73	14	2	
69	363	93	4	
70	1631	68	4	
71	3689	20	8	
72	746	24	9	
73	2324	69	6	
74	876	94	7	
75	398	4	7	
76	567	13	5	
77	676	19	9	
78	7366	76	7	
79	1495	74	1	
80	1576	34	5	
81	924	83	6	
82	8084	84	5	
83	11	61	4	
84	293	99	3	
85	1913	42	7	
86	964	71	5	
87	1266	84	8	
